SP_IMP4	LTI - FIU	Released	Larsen & Toubro Infotech Limited (Delhi)
SI_CON4	LTIMindtree Limited-230765	Released	LTIMindtree Limited
CL_SUB_RE1	MAILNGX - CLOUD ZIMBRA BASIC SUITE -LCC	Released	Lakshmi Card Clothing Mfg Company
SI_IMP123	Manipal - Cisco Meraki - IMP - 240394	Released	MANIPAL HOSPITALS PRIVATE LIMITED
SI_IMP122	Manipal - Cisco Miraki - IMP- 240403	Released	Manipal Health Enterprises Pvt. Ltd.
SI_IMP128	Manipal - Radware -240605	Released	Manipal Health Enterprises Pvt. Ltd.
SP_IMP45	Manipal - Wireless Imp - 240437	Released	MANIPAL HOSPITALS PRIVATE LIMITED
SI_AMC44	Manipal Health Enterprise-230838	Released	Manipal Health Enterprises Pvt. Ltd.
SP_IMP40	Manipal Meraki AP - 240198	Released	Manipal Health Enterprises Pvt. Ltd.
SP_IMP39	Manipal Meraki AP - 240199	Released	Manipal Health Enterprises Pvt. Ltd.
SI_PROF_SER11	Manipal Trelix- 240422	Released	Manipal Health Enterprises Pvt. Ltd.
CPSO564	Manipal Trellix Renewal - 240216	Released	Manipal Health Enterprises Pvt. Ltd.
CYS_IMP1	Manipal Umbrella - 240074	Released	Manipal Health Enterprises Pvt. Ltd.
SI_IMP108	Manipal-240363	Released	MANIPAL HOSPITALS PRIVATE LIMITED
SI_IMP62	Manipal-SITC of meraki AP and router	Released	Manipal Health Enterprises Pvt. Ltd.
SI_SUP122	ManipalMeraki-240402	Released	Manipal Health Enterprises Pvt. Ltd.
CPSO128	MAPAL - Active Network components	Released	MAPAL India Private Limited
SI_IMP26	MAPAL - Passive Implementation	Released	MAPAL India Private Limited
SI_SUP24	Matrimony - Qnap supply	Released	Matrimony.com Limited
DC_O-M7	MCS Non-IT Services	Released	Larsen & Toubro Limited (Maharashtra)
SI_O-M6	MCS O & M	Released	Larsen & Toubro Limited (Maharashtra)
SI_O-M21	MCS O&M for 7 months	Released	Larsen & Toubro Limited (Maharashtra)
SI_O-M26	MCS Order for 5 months	Released	Larsen & Toubro Limited (Maharashtra)
MS_SEC4	MDR- Basic Kaspersky	Released	Fyers Securities Private Limited
SI_IMP78	Medi Assist Healthcare-240002	Released	Medi Assist Healthcare service Limited
SI_AMC34	Medversity-License Renewal SONICWALL_1Yr	Released	Medvarsity Online Limited
SI_PROF_SER5	Meraki Firewall support Charges	Released	NRD TECH PRIVATE LIMITED
SI_IMP22	MG University CCTV/VOIP/ACS	Released	MGU INNOVATION FOUNDATION
SI_SUP167	MHE_Supply of Meraki and Lic_Jayanagar	Released	Manipal Health Enterprises Pvt Ltd.
SI_IMP127	MIAL - IVRS - 240584	Released	MUMBAI INTNL AIRPORT LTD
SP_IMP24	MIAL- IVRS-230211	Released	ADANI ENTERPRISES LTD
MS_SUP13	Microsoft 365 Business Basic Licenses	Released	EZ Vidya Pvt Ltd
MS_SUP14	Microsoft O3065 Monthly Support	Released	SPACE WORLD GROUP LLP
MS_SUP27	Microsoft O365 - 230936	Released	EZ Vidya Pvt Ltd
MS_SUP4	Microsoft O365 Requirement	Released	SPACE WORLD GROUP LLP
MS_SUP19	Microsoft Virtual machine	Released	SPACE WORLD GROUP LLP
SI_IMP95	Mindsprint-240127	Released	Mindsprint Digital India PvtLtd
CL_SUP22	Moodle migration to AWS Cloud & MS	Released	INTEGRAL EDUCATION SOCIETY
DC_CON29	MS DC HYD16 Consulting Services	Released	Meinhardt EPCM (lndia) Private Limited
SI_SUP18	Musigma	Released	Mu Sigma Business Solutions Pvt. Ltd.
SI_AMC77	Musigma_HPE Aruba Central AP 3-yr subscr	Released	Mu Sigma Business Solutions Pvt. Ltd.
SI_IMP63	Musigma_Imple&Migration_Aruba Swiches&AP	Released	Mu Sigma Business Solutions Pvt. Ltd.
SI_IMP33	N Assets WiFi & Firewall	Released	N ASSET SERVICES
SP_IMP47	NCA-240661	Released	Larsen & Toubro Limited, Construction
DC_CON17	Network Consultant for IIM Ahmedabad	Released	Indian Institute of Management Ahmedabad
MS_SEC5	NFSU - 240007	Released	National Forensic Sciences University
SI_SUP86	NIMS Hospital- 24Port Switch 230905	Released	Wipro GE Healthcare Private Limited
SI_AMC13	NMDC - Network AMC & FMS	Released	NMDC Ltd (Telangana)
SI_IMP12	NMDC Limited-190183	Released	NMDC Limited
SI_AMC18	NMDC_AMC_Billing (01/06-30/11_2021)	Released	NMDC Ltd (Telangana)
SP_SUP7	Noida International Airport.-230942	Released	Yamuna International Airport Pvt Ltd
CL_SUP10	NorthTree AV & Email Security	Released	SPACE WORLD GROUP LLP
CL_NEW_SUB3	Northtree O365 & Windows Subscription	Released	SPACE WORLD GROUP LLP
SI_SUP16	Northtree Teleconsulting Llp	Released	SPACE WORLD GROUP LLP
SI_SUP15	Northtree Teleconsulting Llp	Released	SPACE WORLD GROUP LLP
SI_IMP2	Northtree Teleconsulting Llp	Released	SPACE WORLD GROUP LLP
SI_SUP14	Northtree Teleconsulting Llp	Released	SPACE WORLD GROUP LLP
MS_NXAAS1	NovaTechset Fortinet Firewall NAXAS	Released	NOVA TECHSET LIMITED (Chennai)
MS_NXAAS2	NovatechSet IaaS- Fortinet Firewall	Released	NOVA TECHSET LIMITED (Bangalore)
MS_SUP3	O365 Additional Qty Requirement	Released	EZ Vidya Pvt Ltd
MS_SUP7	O365 Business Standard	Released	EZ Vidya Pvt Ltd
MS_SUP8	O365 E1 Monthly	Released	ENTERPRISEMINDS INDIA PRIVATE LIMITED
CPSO100	On Site Warranty Support for IT Infra	Released	Cochin International Airport Limited
SI_O-M20	On-Site ARC Support for IT Services	Released	PETRONET LNG LIMITED
SI_PROF_SER2	One time FMS Service charges	Released	Aviserv Airport Services Pvt Ltd
SI_IMP110	One time imp and commission	Released	Larsen & Toubro Limited (Haryana)
SI_PROF_SER3	One time support for Firewall and WLC	Released	International Airport Hotels and Resorts
CL_SUP23	OneDrive for business	Released	EZ Vidya Pvt Ltd
MS_SUP30	OneDrive for business (Plan 2) - 240161	Released	EZ Vidya Pvt Ltd
MS_SUP40	Palo Alto Renewal	Released	Mouser Electronics India Pvt Ltd
SI_SUP72	Paradigm_Supply of SD-RED 60 Rev.1 Appli	Released	ParadigmIT Technology Services Pvt Ltd
SI_IMP15	Passive Supply and installation	Released	LBS Institute of Technology for Women
SI_IMP145	PAX - AeroPass - 250107	Released	Bangalore International Airport Limited
DC_IMP3	Petronet_DC Build	Released	PETRONET LNG LIMITED
DC_CON32	PGTL POWERTEL DC Bangalore	Released	POWERGRID TELESERVICES LIMITED POWERTEL
DC_IMP25	Pricol(Access Floor,ELV,UPS,Smart Rack)	Released	PRICOL HOLDINGS LIMITED
DC_SUP13	Pricol(FM200 Gas Refilling)	Released	Pricol Limited
CPSO587	PSU-DCIS Wise P/L report	Released	Public Sector Unit-BU
CPSO585	PSU-DT Wise P/L report	Released	Public Sector Unit-BU
CPSO584	PSU-E2C Wise P/L report	Released	Public Sector Unit-BU
CPSO586	PSU-ET Wise P/L report	Released	Public Sector Unit-BU
SI_SUP20	Rack Supply	Released	PSG INSTITUTE OF MEDICAL SCI & RES
MS_SUP17	Radware -Software subscription	Released	Manipal Health Enterprises Pvt. Ltd.
SI_SUP12	RANEXT TECHNOLOGIES PRIVATE LIMITED	Released	RANEXT TECHNOLOGIES PRIVATE LIMITED
SI_IMP30	Ranger - Passive work	Released	Ranger Cotton Mills (India) Pvt Ltd
SI_AMC19	Ranger Fortinet Renewal	Released	Ranger Cotton Mills (India) Pvt Ltd
SP_IMP15	RCP- 230158	Released	Bangalore International Airport Limited
DC_AMC1	Regional Cancer Center UPS AMC	Released	Regional Cancer Centre
SP_IMP6	Relocation of Server -gur to blr	Released	Siemens Technology and Services Pvt Ltd.
SP_SUB_SER4	Renewal of Checkpoint Firewall	Released	Nuclear Power Corporation Of India Ltd.,
SP_SUB_SER1	Renewal of Licenses	Released	International Airport Hotels and Resorts
SI_AMC15	Renewal of Meraki Devices-230137	Released	Mu Sigma Business Solutions Pvt. Ltd.
SI_PROF_SER6	Renewal of Web services	Released	Gajaananda Jewellery Mart India P Ltd
SI_PROF_SER24	RF Survey - 250416	Released	V Link Systems (P) Ltd
SI_IMP6	Rossi Gear Passive Active & VC	Released	Rossi Gearmotors (India) Pvt Ltd
CPSO588	Ruckus Renewal Chaitayan - 240283	Released	CHAITANYA INDIA FIN CREDIT PVT LTD
SI_SUP70	Samhitha Crop Care Clincs India Pvt Ltd	Released	Samhitha Crop Care Clincs India Private Ltd
DC_IMP22	SBA Info Smart Rack (End Client:IITM)	Released	SBA INFO SOLUTIONS PRIVATE LIMITED
